waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=1.8e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=1.8e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=1.35e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=1.35e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=2.7e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=2.7e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=2.25e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=2.25e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=3.6e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=3.6e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=3.15e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=3.15e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.5e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.5e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.5e-08) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.5e-08) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.05e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.05e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.95e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=4.95e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=5.4e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=5.4e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=5.85e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=5.85e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=6.3e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=6.3e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=6.75e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=6.75e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=7.2e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=7.2e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=9e-08) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) (length=9e-08) Y
33.24178132671764,28.05951951746598,33.05990737563553,26.39928615721393,33.41288276523602,30.44743344249081,33.34647403237983,29.36820552508168,33.48926301749141,32.18198028160252,33.45770257812128,31.37029371964792,33.52914677793352,33.57838337961866,29.75126234407765,18.89993936564855,33.51216532004109,32.91154868067218,33.54193101072799,34.19587044442711,33.58065084795187,34.83842592509026,33.61605229130467,35.44817737321108,33.64578457856732,36.0234243478798,33.67101597450323,36.56950266617738,33.69262075991696,37.09058284965342,32.52334291510397,24.13131303311598
33.1521319202054,28.02253689651717,32.98727384577224,26.37007783495973,33.28997962113623,30.39501079605511,33.23984654206726,29.32340642946941,33.33656974869331,32.11509253471662,33.31943183385004,31.31050614928339,33.35027982447407,33.49801496182942,29.70694466719555,18.88411630795157,33.34596065374716,32.83780871487749,33.35118098994382,34.1090725143603,33.37848038738844,34.74527334616203,33.40308351739494,35.34881309198455,33.42261438537862,35.91798664374004,33.43819017439019,36.45811490518557,33.45063961430895,36.97335569528173,32.46729646987557,24.10962870514931
32.9308053677206,27.92820475830058,32.81319625720813,26.29998850982762,32.97785732922401,30.25223774508201,32.97120089217487,29.20390630026928,32.94801759619254,31.9304901947129,32.96745118442859,31.14611107529354,32.89705690854458,33.2764320017751,29.60837006485262,18.84885887832472,32.92377215922181,32.63420351420786,32.86922666716498,33.87038776820552,32.86926991169965,34.49023044140323,32.86832056813312,35.07799741308155,32.86389703978939,35.63191262811007,32.85696320231155,36.1572388153476,32.8482133375967,36.65808437744364,32.33389068643093,24.05792819980161
32.31341006985569,27.62013894287978,32.29016615894676,26.0421621902661,32.19246018252257,29.85805513481233,32.26666502036748,28.85119161505105,32.02091079142318,31.46218560273229,32.10796186009603,30.71350720858304,31.85180810432362,32.74349023237523,29.36831232106861,18.75615637988677,31.93495506945004,32.13256253423614,31.77222404375632,33.30789688203073,31.72122747033931,33.89782317372678,31.67266717758506,34.45680828395799,31.62407969074347,34.98314203777791,31.57606228874496,35.4819428020646,31.52899175001649,35.95719809659913,31.92664287269175,23.86534511414882
31.12199404495522,27.07263178369795,31.27595285768742,25.58187318493517,30.69656313788438,29.16322686920104,30.91347555414707,28.22524009447956,30.29181253809788,30.65438822933034,30.48747605404707,29.958478329693,29.94442574804867,31.84780609022386,28.79899889167218,18.52009078797249,30.11092330698812,31.27822691099331,29.79127804977743,32.37519263524882,29.66703800237649,32.9271386310835,29.55192022348871,33.45080399754835,29.44341077517028,33.94458213559968,29.34120348124095,34.4131975675513,29.24492210583983,34.86031360422064,31.11446454904737,23.50472021161068
28.98561680442043,26.12634548940022,29.39581795285707,24.75728343064711,28.19267500476714,28.06129904355946,28.57063901281732,27.18775126323584,27.56610245630138,29.48169420269874,27.85877527042606,28.81318085874449,27.08287360485402,30.65309889089441,27.76502255622583,18.10975283694407,27.30929171373261,30.09007755681196,26.8820201342199,31.18056737132015,26.70667625964134,31.72892762124835,26.54769526491803,32.25224952706186,26.40243753322907,32.74903332892504,26.26919844763933,33.2232372236127,26.1465209725228,33.67793829373785,29.57563248861466,22.84666424505335
25.89001174164539,24.79653621685356,26.47074793537646,23.47853520360194,24.95936693377164,26.79234954000495,25.38209179556269,25.86899853711277,24.31246009718799,28.36618149566709,24.60795282558779,27.61559235412102,23.84225317895879,29.71088155243276,25.98370583002213,17.40167476275643,24.06037705989133,29.06091721586257,23.65107523974219,30.32384498804928,23.47388592040744,30.94454749813172,23.31326490797402,31.53706543045177,23.1674106419398,32.10088843343217,23.03414627169809,32.63979375750483,22.91172563539763,33.15681814008577,26.99759041169306,21.73269336973742
22.57007397222245,23.52615693147696,23.0772551471503,22.03396618291921,21.76579237364664,25.90932539300864,22.13444842164164,24.79641378690507,21.17560295470732,27.80459170594034,21.44993833737797,26.90336213048944,20.72052563645288,29.39839390325507,23.36297369594435,16.31612538269153,20.9345093939366,28.631680331084,20.52900780418738,30.11510377239003,20.34461107737805,30.82112553449728,20.17547687621059,31.49022289144943,20.02077905061757,32.12412466550046,19.878613534217,32.72760376318112,19.74741542572679,33.30451650745604,23.64798789823652,20.23502519939507
19.65729629220368,22.69647801163327,20.10306386788855,20.94262744653166,18.80850405856946,25.39872835018162,19.21365372081575,24.15417647927668,18.13328829833738,27.46004634980116,18.4491066635136,26.48760072559769,17.61163431402325,29.15564636023593,20.37622322227928,14.99738904302446,17.85596484946801,28.34307899511416,17.39527383333467,29.91135816866246,17.19144317204033,30.64714175893269,17.0063272718672,31.3421616876048,16.83845147761931,31.99954695331807,16.68545349203605,32.62464795561299,16.54538133079534,33.22173201974955,20.50473593536501,18.83033179588129
16.94485715915516,21.9563237901627,17.58426568769524,20.17381082123096,15.85173748255053,24.60059929934754,16.35401882455677,23.39106983598628,15.08334220249511,26.60232033510417,15.43288904759918,25.65659948665243,14.53944361253415,28.26308639479931,17.84707407194728,13.8261987922537,14.78931399873355,27.46510595833053,14.32484474033534,29.00882502521926,14.12667930654055,29.73263605937368,13.94947579037072,30.4175881060025,13.79097836558749,31.0669902935374,13.64825737618825,31.68578013933658,13.51897107543933,32.27789448106719,18.12050100044225,17.87852724992987
14.17221611241142,20.71606706549342,15.0428442370671,19.15770204269095,12.98156187437931,23.08455747526437,13.49750485774803,21.98773183158572,12.26426125084607,24.9548050454786,12.58122338733055,24.06300114314694,11.79756908069034,26.55013199632177,16.11424372994582,13.04589664431273,12.00822512953392,25.77952338544259,11.62140042045587,27.27577397801769,11.45719079584404,27.97622340074507,11.31145999403906,28.64050857884914,11.18229930378641,29.27199281300325,11.06687895297657,29.87490096568362,10.96299491342965,30.45265171566262,16.05361308554822,17.0909847450638
11.52787410980344,18.83733967710675,12.42323176759122,17.54976886357225,10.48571458489635,20.94586744097114,10.91802726774463,19.94907072720122,9.923877362093044,22.70093311621679,10.16694143579875,21.85733840309701,9.58023863812506,24.22770809278389,14.79444168001593,12.50271479610928,9.733270406450007,23.48826544414743,9.454906038423397,24.92563652827229,9.332793464969356,25.59254094955329,9.224150697038935,26.22449271705004,9.128162962085716,26.82517726586351,9.042584160234846,27.39833438718078,8.965689351788763,27.94704859702586,13.7802151070443,15.9473266094106
9.285053446591057,16.58279377404563,10.03074191986304,15.4921722637398,8.498442438558778,18.49045064133159,8.815576817362251,17.57708568912528,8.105278737693459,20.11402959472936,8.272638786245995,19.33329346887507,7.876696918816521,21.51593162457342,13.31858293331698,11.84462243083583,7.977232506841964,20.83963205684401,7.796043661482956,22.14785232233426,7.710235376428821,22.74574437058779,7.632971395670057,23.30908756997562,7.564589281242391,23.84152058015401,7.503502188733346,24.34666095077964,7.448499046091827,24.82752972238299,11.36773770752978,14.29755739286039
7.522974227477878,14.25964578655906,8.068831693193514,13.30818414734218,6.976934190485286,15.94713171238412,7.192630012761541,15.14174407625222,6.720111376993317,17.33430968238745,6.827741576963521,16.67670013198702,6.578470435680772,18.45172309735693,11.48524777889032,10.85617188294333,6.639884345967251,17.92449055347964,6.53039105412961,18.92024942197738,6.471087707522617,19.36594843558183,6.416554263176064,19.77914675434156,6.367997917800428,20.16159096416392,6.324373228393217,20.51735430849804,6.284882852502075,20.84981612535433,9.156979349749205,12.37181244142909
6.174236854732638,12.04013349167094,6.556168550994159,11.23350733477584,5.811575403163772,13.38689855872977,5.95242085624873,12.76433413514701,5.649746368331995,14.3154953869782,5.716646422867734,13.90351722677639,5.565621524913404,14.84912719910894,9.50542195169835,9.587309311492744,5.602733152857842,14.63204402198686,5.536607643474872,14.9785969464261,5.493590478716773,15.138453267665,5.453016608057314,15.28048524457217,5.41650682297433,15.39981652978951,5.3834045777573,15.50140339289681,5.353202798156042,15.5890298491078,7.359987357038155,10.46504959419465
5.143478605547754,9.971852651020178,5.403460723569482,9.359167265007517,4.902506469475056,10.76841638298165,4.995490466684949,10.44936710220413,4.793739325012603,10.93791511845825,4.839492312690912,10.92743109527827,4.728687048225806,10.6009118004585,7.707267932732932,8.23641058969681,4.758182752650717,10.82041751106742,4.702776679920019,10.30708650822215,4.665637464055023,10.16397806894023,4.632291398710207,10.05736089151637,4.600487752249242,9.948588426207827,4.57156809753126,9.84843252653509,4.545155246510684,9.757111275925821,5.973004829923125,8.745516726393461
4.335977314429457,8.024966723544885,4.516011197614333,7.685738411723706,4.161560812611897,8.067756713425508,4.231397380627482,8.151026676434434,4.065146542786503,7.460758544897345,4.108934124778637,7.818008544560477,3.989894089052167,6.634979539142407,6.230561686012301,6.970232750202237,4.026108227681682,7.052197703964863,3.955675964226101,6.235974140051897,3.919201795509902,6.042408783611537,3.886333875633835,5.898615190605477,3.85707973561004,5.777631880562683,3.830891205920631,5.675208531638454,3.807316189922764,5.58790869426218,4.91745956035498,7.261008120430302
3.681342457540364,6.179931192159634,3.816417720450636,6.177623091234161,3.527657084465992,5.574282397308313,3.594225931789822,5.947900410684571,3.421585670687285,4.75148939786527,3.471411403649499,5.154943237488849,3.335902130030049,4.081686809679634,5.080115665117827,5.867999429475182,3.376649198996744,4.391515582805115,3.29890397848289,3.818946575714804,3.266777391978423,3.700110134766829,3.239045455382194,3.615434750692542,3.214805129873115,3.546296958474828,3.19342862844252,3.489121482735104,3.174426258503728,3.441296414764969,4.107223217106823,5.994848502474386
3.130850412167122,4.529729728860598,3.247487267863381,4.814564015441955,2.977902475446851,3.739702247401009,3.046194866715573,4.131993715428786,2.87155416773249,3.121336465542905,2.920546553400615,3.400549081862653,2.792503510017646,2.709627250716399,4.198685341767919,4.941286433767721,2.829281456213934,2.894452548643713,2.760259414613659,2.557716434305426,2.734650803658307,2.491047508355805,2.712993871660908,2.44414199564572,2.694225455481344,2.406065577392773,2.677788731852743,2.374724581133405,2.663260607712163,2.34861477707922,3.472785324375469,4.908926426752632
2.66049073237569,3.241970506573201,2.770914136376157,3.635113523152416,2.515151461654345,2.595493681105859,2.578866858340414,2.883013005608712,2.421640257946398,2.196262777491827,2.463866057442615,2.37154827957169,2.356061014031731,1.944486730922186,3.520759487573372,4.170325349850742,2.386226159974007,2.057009779171317,2.330026545591472,1.852058601589199,2.310043448926757,1.811926224001966,2.293284192762045,1.783792021087507,2.278813260401792,1.760958727005808,2.266178489807099,1.74217480408402,2.25503945597921,1.726540160738305,2.963248060429089,3.967847950341751
2.263457074641738,2.354240546455602,2.366474062817499,2.706456936881914,2.135472534522841,1.897957456502543,2.190352780923353,2.091672026977939,2.057805310624164,1.638120015749553,2.092512790932182,1.751641267421506,2.00481375233185,1.474613239576708,2.991861490893389,3.527036733134509,2.029070484959182,1.547875589660116,1.984012121257511,1.414059863277018,1.96818828138268,1.387817440222612,1.95495664051003,1.369429493877768,1.943552907675651,1.354495612086721,1.933612500462391,1.342208213339379,1.924861778384571,1.331984112252385,2.543043857385757,3.154359554229298
